,Feature_Name,Accuracy,F1_Score,Train_Time,Evaluate_Time
0,DAISY (RGB),0.2725378787878788,0.2696254958648539,143.1177954673767,0.03176026344299317
1,HOG Multi-Scale (Red),0.30359848484848484,0.2974487575570431,248.8387421131134,0.04130434989929199
2,HOG Multi-Scale (Green),0.31325757575757573,0.30573795301707934,240.51233236789705,0.042540359497070315
3,HOG Multi-Scale (Blue),0.30303030303030304,0.2953762825701243,245.2819224357605,0.04422814846038818
4,HOG Multi-Scale (Gray),0.31628787878787884,0.30972887660991333,245.91647973060608,0.047583699226379395
5,HOG Multi-Scale (Hue),0.3299242424242424,0.3225681377193922,235.02810587882996,0.04447619915008545
6,HOG Multi-Scale (Saturation),0.287310606060606,0.28239022029514105,240.28099336624146,0.05281994342803955
7,HOG Multi-Scale (Brightness),0.30814393939393947,0.3000199525891918,243.9489453792572,0.04575824737548828
8,RGB + HSV,0.4195075757575758,0.3991829881022245,0.9384411096572876,0.0025036811828613283
9,RGB + HSV + ResNet,0.9140151515151516,0.9136521455706224,54.19602510929108,0.011853575706481934
10,RGB + HSV + ResNet + HOG (Gray),0.8731060606060606,0.8720403925775948,297.5403258085251,0.05880022048950195
